playerID,awardID,yearID,lgID,tie,notes,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID,GoldGlove,MVP
richabo01,"WS MVP",1960,ML,NULL,,11891,richabo01,,richabo01h,1935,8,19,USA,SC,Sumter,NULL,NULL,NULL,NULL,NULL,NULL,Bobby,Richardson,NULL,"Robert Clinton",NULL,170,69.0,R,R,1955-08-05,1966-10-02,,richabo01,richabo01,richb102,richabo01,richabo01,5,0
santoro01,"Gold Glove",1964,NL,NULL,3B,12484,santoro01,,santoro01h,1940,2,25,USA,WA,Seattle,NULL,NULL,NULL,NULL,NULL,NULL,Ron,Santo,NULL,"Ronald Edward",NULL,190,72.0,R,R,1960-06-26,1974-09-29,,santoro01,santoro01,santr102,santoro01,santoro01,5,0
freehbi01,"Gold Glove",1965,AL,NULL,C,4694,freehbi01,,freehbi01h,1941,11,29,USA,MI,Detroit,NULL,NULL,NULL,NULL,NULL,NULL,Bill,Freehan,NULL,"William Ashley",NULL,205,74.0,R,R,1961-09-26,1976-10-03,,freehbi01,freehbi01,freeb103,freehbi01,freehbi01,5,0
cedence01,"Gold Glove",1972,NL,NULL,OF,2293,cedence01,,cedence01h,1951,2,25,D.R.,NULL,"Santo Domingo",NULL,NULL,NULL,NULL,NULL,NULL,Cesar,Cedeno,NULL,"Cesar (Encarnacion)",NULL,195,74.0,R,R,1970-06-20,1986-06-02,,cedence01,cedence01,cedec001,cedence01,cedence01,5,0
conceda01,"Gold Glove",1974,NL,NULL,SS,2718,conceda01,,conceda01h,1948,6,17,Venezuela,,"Ocumare de la Costa",NULL,NULL,NULL,NULL,NULL,NULL,Dave,Concepcion,NULL,"David Ismael (Benitez)",NULL,180,73.0,R,R,1970-04-06,1988-09-15,"Augustin Codazzi",conceda01,conceda01,concd001,conceda01,conceda01,5,0
niekrph01,"Gold Glove",1978,NL,NULL,P,10413,niekrph01,,niekrph01h,1939,4,1,USA,OH,Blaine,NULL,NULL,NULL,NULL,NULL,NULL,Phil,Niekro,NULL,"Philip Henry",Knucksie,180,73.0,R,R,1964-04-15,1987-09-27,,niekrph01,niekrph01,niekp001,niekrph01,niekrph01,5,0
vanslan01,"Gold Glove",1988,NL,NULL,OF,14536,vanslan01,,,1960,12,21,USA,NY,Utica,NULL,NULL,NULL,NULL,NULL,NULL,Andy,"Van Slyke",NULL,"Andrew James",NULL,192,74.0,L,R,1983-06-17,1995-10-01,,vanslan01,vanslan01,vansa001,vanslan01,vanslan01,5,0
garvest01,"AS MVP",1974,ML,NULL,,4957,garvest01,,garvest01h,1948,12,22,USA,FL,Tampa,NULL,NULL,NULL,NULL,NULL,NULL,Steve,Garvey,NULL,"Steven Patrick",NULL,192,70.0,R,R,1969-09-01,1987-05-23,"Michigan State",garvest01,garvest01,garvs001,garvest01,garvest01,4,1
lynnfr01,"Gold Glove",1975,AL,NULL,OF,8554,lynnfr01,,lynnfr01h,1952,2,3,USA,IL,Chicago,NULL,NULL,NULL,NULL,NULL,NULL,Fred,Lynn,NULL,"Fredric Michael",NULL,190,73.0,L,L,1974-09-05,1990-10-03,USC,lynnfr01,lynnfr01,lynnf001,lynnfr01,lynnfr01,4,1
jeterde01,"Rookie of the Year",1996,AL,NULL,,6955,jeterde01,,,1974,6,26,USA,NJ,Pequannock,NULL,NULL,NULL,NULL,NULL,NULL,Derek,Jeter,NULL,"Derek Sanderson","Mr. November",175,75.0,R,R,1995-05-29,NULL,,jeterde01,jeterde01,jeted001,jeterde01,jeterde01,4,0
mathemi01,"Gold Glove",2000,NL,NULL,C,8950,mathemi01,,,1970,9,22,USA,OH,Columbus,NULL,NULL,NULL,NULL,NULL,NULL,Mike,Matheny,NULL,"Michael Scott",NULL,205,75.0,R,R,1994-04-07,2006-05-31,Michigan,mathemi01,mathemi01,mathm001,mathemi01,mathemi01,4,0
boonebr01,"Gold Glove",1998,NL,NULL,2B,1301,boonebr01,,,1969,4,6,USA,CA,ElCajon,NULL,NULL,NULL,NULL,NULL,NULL,Bret,Boone,NULL,"Bret Robert",NULL,180,70.0,R,R,1992-08-19,2005-07-30,USC,boonebr01,boonebr01,boonb002,boonebr01,boonebr01,4,0
crandde01,"Gold Glove",1958,NL,NULL,C,2973,crandde01,crandde01m,crandde01h,1930,3,5,USA,CA,Ontario,NULL,NULL,NULL,NULL,NULL,NULL,Del,Crandall,NULL,"Delmar Wesley",NULL,195,73.0,R,R,1949-06-17,1966-09-25,,crandde01,crandde01,crand102,crandde01,crandde01,4,0
